,,bcc,,,,,,,,,,,,,,,,,,resp,,,,,,,,,,,,,,,,,
Compound,Temperature,Px(NVT),sigmaPx,Py(NVT),sigmaPy,Pz(NVT),sigmaPz,Rho(NPT),sigmaRho,Epot(NPT),sigmaE,Epot(gas),sigmaE,DHsub,sigmaH,gzip_size,D,S0,RMSD,Px(NVT),sigmaPx,Py(NVT),sigmaPy,Pz(NVT),sigmaPz,Rho(NPT),sigmaRho,Epot(NPT),sigmaE,Epot(gas),sigmaE,DHsub,sigmaH,gzip_size,D,S0,RMSD
urea,303,-6358.12,495.153,-6355.58,525.448,-3766.51,1040.18,1423.97,0.418127,-517.964,0.239898,-424.454,6.69182,88.4716,6.69612,202171,-0,0.95402,0.032852,-6150.64,534.534,-6191.38,543.563,-1279.66,1038.41,1441.95,0.408417,-761.152,0.241901,-671.853,6.67904,84.2606,6.68342,202302,0.0002,0.923617,0.0657005
urea,313,-6151.79,530.41,-6136.07,520.278,-3629.23,951.211,1421.5,0.481572,-517.019,0.247828,-423.761,7.06077,88.0533,7.06512,202277,-0,0.953864,0.0372892,-5941.13,508.012,-5915.74,502.925,-1077.79,1008.01,1439.37,0.350222,-760.196,0.252963,-671.021,7.05775,83.9703,7.06228,202501,0.0001,0.919164,0.0769694
urea,323,-5974.47,519.687,-5957.8,535.626,-3402.78,1070.92,1419,0.496896,-516.072,0.260042,-423.138,7.3393,87.5631,7.34391,202484,0.0001,0.946112,0.0460549,-5773.22,540.438,-5716.23,540.175,-912.537,1050.38,1436.88,0.404369,-759.25,0.264671,-670.759,7.22551,83.1201,7.23036,202497,0.0002,0.907516,0.0895347
urea,333,-5674.04,535.817,-5655.76,551.286,-3034.14,1023.05,1416.44,0.458107,-515.104,0.265491,-422.351,7.56134,87.2158,7.566,202595,0,0.943304,0.0558193,-5473.7,510.678,-5482.75,539.436,-726.331,1041.84,1434.15,0.397784,-758.268,0.269554,-670.266,7.51675,82.4648,7.52158,202579,0.0004,0.887246,0.0987386
urea,343,-5397.51,575.193,-5399.06,556.679,-2874.31,1105.61,1413.93,0.49621,-514.145,0.277596,-421.496,7.76026,86.9455,7.76522,202744,0.0002,0.934524,0.0722426,-5272.39,567.595,-5305.94,566.768,-552.087,1058.29,1431.36,0.391249,-757.29,0.282587,-669.534,7.51519,82.0525,7.5205,202953,0.0007,0.853743,0.0979953
urea,353,-5232.85,558.579,-5256.32,531.311,-2651.91,1097.08,1411.12,0.474724,-513.177,0.287911,-421.49,7.77913,85.8172,7.78446,203031,0.0003,0.920631,0.0835788,-5026.67,609.33,-5033.98,592.798,-411.899,1106.97,1428.62,0.416776,-756.309,0.285513,-669.366,7.83948,81.0732,7.84468,203092,0.0007,0.845721,0.10082
urea,363,-4981.71,599.291,-4996.18,571.54,-2258.24,1062.36,1408.44,0.494647,-512.208,0.292167,-420.667,8.05168,85.5049,8.05698,202973,0.0004,0.9027,0.0933456,-4795.88,596.83,-4797.68,603.063,-221.837,1117.44,1425.72,0.455731,-755.306,0.296761,-668.83,8.12766,80.4399,8.13308,203144,0.0013,0.771862,0.0988272
urea,373,-4743.94,613.41,-4741.51,632.416,-2061.35,1033.33,1405.68,0.477913,-511.223,0.305693,-419.998,8.51851,85.0226,8.52399,203068,0.0005,0.892447,0.0931371,-4559.11,579.894,-4515.93,618.853,-64.3337,1120.38,1422.7,0.444335,-754.299,0.310789,-667.806,8.4099,80.2906,8.41564,203262,0.0019,0.714044,0.101424
urea,383,-4514.23,618.315,-4534.22,607.943,-1964.49,1154.64,1402.79,0.526193,-510.226,0.309062,-419.661,8.64459,84.1964,8.65011,203512,0.0008,0.861227,0.100827,-4232.74,587.45,-4217.49,592.368,-41.4792,1096.07,1419.64,0.474475,-753.267,0.321948,-667.386,8.41284,79.5124,8.419,203298,0.0021,0.654651,0.101649
urea,393,-4242.06,630.676,-4240.11,608.74,-1427.76,1115.68,1399.64,0.54672,-509.224,0.32021,-418.923,8.71432,83.7661,8.7202,203467,0.0012,0.808752,0.102595,-4030.79,625.726,-4051.21,635.616,33.106,1138.66,1416.56,0.427526,-752.23,0.335755,-666.728,8.5649,78.9671,8.57148,203569,0.0026,0.508229,0.104168
urea,403,-4049.86,599.321,-4096.09,616.481,-1355.76,1162.08,1396.75,0.574333,-508.22,0.334175,-418.516,8.99159,83.0028,8.9978,203412,0.0014,0.784747,0.104025,-3797.49,612.506,-3768.54,638.457,22.1865,1133.57,1413.4,0.449909,-751.158,0.346964,-665.988,9.11713,78.4688,9.12373,203984,0.0026,0.406521,0.102772
urea,406,-3927.65,611.92,-3970.01,650.611,-1252.6,1121.62,1395.75,0.557887,-507.906,0.338699,-417.741,9.3414,83.4139,9.34754,203911,0.0016,0.747816,0.101286,-3734.31,656.321,-3765.57,667.49,48.3749,1158.34,1412.36,0.54836,-750.83,0.346077,-666.007,9.0165,78.0719,9.02314,203750,0.0026,0.381958,0.0997137
urea,526,76.988,829.033,104.387,847.193,-209.899,1344.15,1212.14,0.875414,-478.325,0.42815,-410.998,11.8982,58.5805,11.9059,206367,2.9248,9.2974e-05,0.169378,1739.12,982.389,1814.18,1038.82,1758.6,1006.59,1243.13,0.883558,-724.216,0.430548,-659.078,11.6803,56.3915,11.6882,206230,2.8315,0.000214611,0.168012
urea,570,3740.27,1079.32,3724.76,1085.31,3694.32,1037.91,1171.19,1.08838,-472.814,0.470254,-408.543,12.8322,54.7929,12.8408,206891,3.927,9.48104e-06,0.16936,2743.25,1088.39,2741.38,1048.26,2733.9,1032.51,1202.5,0.935616,-718.75,0.456781,-655.856,12.8287,53.4159,12.8368,206617,4.0146,6.46707e-05,0.168221
123-benzenetriol,100,-728.997,398.078,1148.43,111.974,6363.69,475.608,1523.35,0.127944,-147.978,0.0892895,-45.5241,3.48436,100.791,3.4855,547920,0,0.996686,0.0253108,-1341.8,358.731,268.854,101.372,5500.48,456.652,1538,0.115106,-126.128,0.0892262,-14.8303,3.36157,109.635,3.36275,547451,0,0.997138,0.0218852
